date,World,Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Faeroe Islands,Finland,France,French Guiana,French Polynesia,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Guadeloupe,Guernsey,Guinea,Guyana,Honduras,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kenya,Kuwait,Latvia,Lebanon,Liechtenstein,Lithuania,Luxembourg,Macedonia,Malaysia,Maldives,Malta,Martinique,Mexico,Moldova,Monaco,Mongolia,Morocco,Nepal,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Palestine,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Saint Barthlemy,Saint Martin (French part),Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Vatican,Venezuela,Vietnam
2020-01-21,282,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,
2020-01-22,314,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,
2020-01-23,581,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,1,,,
2020-01-24,846,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,4,,,,,,,,1,,,2
2020-01-25,1320,,,,,,,,3,,,,,,,,,,,,,,,,,,,1297,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,4,,,,,,,,2,,,2
2020-01-26,2014,,,,,,,,4,,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,5,,,,,,,,2,,,2
2020-01-27,2798,,,,,,,,4,,,,,,,,,,,,,,,,1,,,2761,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,5,,,,,,,,5,,,2
2020-01-28,4593,,,,,,,,5,,,,,,,,,,,,,,1,,2,,,4537,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,1,,,,14,,,,,,,,5,,,2
2020-01-29,6065,,,,,,,,7,,,,,,,,,,,,,,1,,3,,,5997,,,,,,,,,,,,,,,,,4,,,,,4,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,1,,,,14,,,,,,4,,5,,,2
2020-01-30,7818,,,,,,,,7,,,,,,,,,,,,,,1,,3,,,7736,,,,,,,,,,,,,,,,1,5,,,,,4,,,,,,,,,,,1,,,,,,,,,11,,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,10,,,,4,,1,,,,14,,,,,,4,,5,,,2
2020-01-31,9826,,,,,,,,9,,,,,,,,,,,,,,1,,3,,,9720,,,,,,,,,,,,,,,,1,6,,,,,5,,,,,,,,,,,1,,,,,,,2,,14,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,13,,,,11,,1,,,,14,,,,,,4,,6,,,5
2020-02-01,11953,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,11821,,,,,,,,,,,,,,,,1,6,,,,,7,,,,,,,,,,,1,,,,,,,2,,17,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,1,,,,,,,2,,,,,,,,16,,,,12,1,1,,1,,19,,,,,,4,2,7,,,6
2020-02-02,14557,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,14411,,,,,,,,,,,,,,,,1,6,,,,,8,,,,,,,,,,,2,,,,,,,2,,20,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,18,,,,15,1,1,,1,,19,,,,,,5,2,8,,,7
2020-02-03,17391,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,17238,,,,,,,,,,,,,,,,1,6,,,,,10,,,,,,,,,,,3,,,,,,,2,,20,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,18,,,,15,1,1,,1,,19,,,,,,5,2,11,,,8
2020-02-04,20630,,,,,,,,12,,,,,,,,,,,,,,1,,4,,,20471,,,,,,,,,,,,,,,,1,6,,,,,12,,,,,,,,,,,3,,,,,,,2,,20,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,,,,,,,,18,,,,16,1,1,,1,,19,,,,,,5,2,11,,,9
2020-02-05,24544,,,,,,,,13,,,,,,1,,,,,,,,1,,5,,,24363,,,,,,,,,,,,,,,,1,6,,,,,12,,,,,,,,,,,3,,,,,,,2,,23,,,,,,,,,,,10,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,24,,,,18,1,1,,1,,25,,,,,,5,2,11,,,10
2020-02-06,28276,,,,,,,,14,,,,,,1,,,,,,,,1,,5,,,28060,,,,,,,,,,,,,,,,1,6,,,,,12,,,,,,,,,,,3,,20,,,,,2,,25,,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,28,,,,23,1,1,,1,,25,,,,,,5,2,12,,,10
2020-02-07,31481,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,31211,,,,,,,,,,,,,,,,1,6,,,,,13,,,,,,,,,,,3,,61,,,,,3,,25,,,,,,,,,,,14,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,30,,,,24,1,1,,1,,25,,,,,,5,3,12,,,12
2020-02-08,34886,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,34598,,,,,,,,,,,,,,,,1,6,,,,,14,,,,,,,,,,,3,,64,,,,,3,,25,,,,,,,,,,,15,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,33,,,,24,1,1,,1,,32,,,,,,7,3,12,,,13
2020-02-09,37558,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,37251,,,,,,,,,,,,,,,,1,11,,,,,14,,,,,,,,,,,3,,64,,,,,3,,26,,,,,,,,,,,17,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,40,,,,27,1,1,,1,,32,,,,,,7,3,12,,,14
2020-02-10,40554,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,40235,,,,,,,,,,,,,,,,1,11,,,,,14,,,,,,,,,,,3,,70,,,,,3,,26,,,,,,,,,,,18,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,43,,,,27,2,1,,1,,32,,,,,,7,4,12,,,14
2020-02-11,43103,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,42708,,,,,,,,,,,,,,,,1,11,,,,,14,,,,,,,,,,,3,,135,,,,,3,,26,,,,,,,,,,,18,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,45,,,,28,2,1,,1,,33,,,,,,8,8,13,,,15
2020-02-12,45171,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,44730,,,,,,,,,,,,,,,,1,11,,,,,16,,,,,,,,,,,3,,175,,,,,3,,28,,,,,,,,,,,18,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,47,,,,28,2,1,,1,,33,,,,,,8,8,13,,,15
2020-02-13,46997,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,46550,,,,,,,,,,,,,,,,1,11,,,,,16,,,,,,,,,,,3,,174,,,,,3,,29,,,,,,,,,,,18,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,50,,,,28,2,1,,1,,33,,,,,,8,9,14,,,16
2020-02-14,49053,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,48548,,,,,,,,,,,,,,,,1,11,,,,,16,,,,,,,,,,,3,,218,,,,,3,,33,,,,,,,,,,,19,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,58,,,,28,2,1,,1,,33,,,,,,8,9,15,,,16
2020-02-15,50580,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,50054,,,,,,,,,,,,1,,,,1,11,,,,,16,,,,,,,,,,,3,,218,,,,,3,,41,,,,,,,,,,,21,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,67,,,,28,2,1,,1,,34,,,,,,8,9,15,,,16
2020-02-16,51857,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,51174,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,355,,,,,3,,53,,,,,,,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,72,,,,29,2,1,,1,,34,,,,,,8,9,15,,,16
2020-02-17,71429,,,,,,,,15,,,,,,1,,,,,,,,1,,7,,,70635,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,454,,,,,3,,59,,,,,,,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,75,,,,30,2,1,,1,,35,,,,,,9,9,15,,,16
2020-02-18,73332,,,,,,,,15,,,,,,1,,,,,,,,1,,8,,,72528,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,454,,,,,3,,65,,,,,,,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,77,,,,31,2,1,,1,,35,,,,,,9,9,15,,,16
2020-02-19,75204,,,,,,,,15,,,,,,1,,,,,,,,1,,8,,,74280,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,542,,,,,3,,73,,,,,,,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,81,,,,51,2,1,,1,,35,,,,,,9,9,15,,,16
2020-02-20,75748,,,,,,,,15,,,,,,1,,,,,,,,1,,8,,,74675,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,621,2,,,,3,,85,,,,,,,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,84,,,,104,2,1,,1,,35,,,,,,9,9,15,,,16
2020-02-21,76769,,,,,,,,17,,,,,,1,,,,,,,,1,,8,,,75569,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,634,5,,,,3,,93,,,,,,,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,85,,,,204,2,1,,1,,35,,,,,,9,9,15,,,16
2020-02-22,77794,,,,,,,,21,,,,,,1,,,,,,,,1,,8,,,76392,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,634,18,,,1,9,,105,,,,,,1,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,86,,,,346,2,1,,1,,35,,,,,,11,9,35,,,16
2020-02-23,78811,,,,,,,,22,,,,,,1,,,,,,,,1,,9,,,77042,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,634,28,,,1,76,,132,,,,,,1,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,89,,,,602,2,1,,1,,35,,,,,,13,9,35,,,16
2020-02-24,79331,,,,,,,,22,,,,,,1,,,,,,,,1,,9,,,77262,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,695,43,,,1,124,,144,,,,3,,1,,,,,22,,,,,,,,,1,,,,,,,,,,,3,,,,,,,2,,,,,,,,89,,,,763,2,1,,1,,35,,,,,,13,9,35,,,16
2020-02-25,80239,1,,,,,,,22,,,8,,,1,,,,,,,,1,,10,,,77780,,,,,,,,,,,,1,,,,1,12,,,,,16,,,,,,,,,,,3,,691,61,1,,2,229,,157,,,,8,,1,,,,,22,,,,,,,,,1,,,,,2,,,,,,3,,,,,,,2,,,,,,,,90,,,,977,2,1,,1,,37,,,,,,13,13,53,,,16
2020-02-26,81109,1,,1,,,,,23,2,,26,,,1,,,,,,,,1,,10,,,78191,,,,2,,,,,,,,1,,,,1,12,,,,,18,,,,,,,,,,,3,,691,95,5,,2,322,,164,,,,12,,1,,,,,22,,,,,,,,,1,,,,,4,,,,,,3,,,,,,,2,,,,,,,,91,,,,1261,2,1,,1,1,40,,,,,,13,13,53,,,16
2020-02-27,82294,1,,1,,,,,23,2,,33,,,1,,,,1,,,,1,,11,,,78630,,,,3,,,,,1,,,1,1,,,2,18,,,,1,21,,,1,,,,,,,,3,,705,141,6,,2,400,,186,,,,43,,2,,,,1,22,,,,,,,,,1,,,,1,4,2,,,,,3,,,,,,1,2,,,,,,,,93,,,,1766,12,1,,2,1,40,,,,,,13,13,59,,,16
2020-02-28,83652,1,,1,,,,,23,4,,33,,1,1,,,,1,,,,1,,11,,,78961,,,,3,,,,,1,,,1,1,,,2,38,,,,1,26,,,3,,,,,,,,3,,705,245,7,,3,650,,210,,,,43,,2,,1,,1,24,,,,,,,,,1,1,1,1,4,6,2,,,,,3,,,,,,1,2,,,,,,,,96,,,,2337,25,1,,7,6,40,,,,,,19,16,59,,,16
2020-02-29,85403,1,,1,,,,,24,5,,38,,1,1,,,,1,,,,1,,14,,,79394,,,,5,,,,,2,,,1,1,,,2,57,,,,2,57,,,3,,,,,,,,3,,705,388,8,,5,888,,230,,,,45,,2,,1,,1,24,,,,2,,,,,1,2,1,1,6,6,2,,,,,3,,,,,,3,2,,,,1,,,,98,,,,3150,32,1,,12,10,42,,,,,,19,20,62,,,16
2020-03-01,87137,1,,1,,,,,25,10,3,40,,1,1,,,,2,,,,1,,19,,,79968,,,,7,,,,,3,,1,1,1,,,2,100,,,,3,57,,,3,,,,,,,,3,,705,593,13,1,7,1128,,239,,,,45,,2,,1,,1,24,,,,2,,1,,,1,7,1,1,15,6,4,,,,,3,,,,1,,3,2,,,,1,,,,102,,,,3736,45,1,,13,18,42,,,,,,19,23,62,,,16
2020-03-02,88948,1,,1,,,,1,27,10,3,47,,1,1,,,,2,,,,1,,19,,,80174,,,,7,,,3,,4,1,1,2,1,,,6,100,,,,3,129,,,7,,,,,,,2,3,2,706,978,19,1,7,1689,,254,,,,56,,10,,1,1,1,24,,,,5,,1,,,1,13,1,1,19,6,4,,,,,3,,,,3,,3,2,,,,1,,,,106,,,,4212,45,1,,14,24,42,,,,,,21,36,62,,,16
2020-03-03,90869,1,,5,1,,,1,33,18,3,49,,1,8,,,,2,,,,1,,27,,,80304,,,,8,,,3,,5,1,6,2,1,,,7,191,,,,3,157,,,7,,,,,,,9,5,2,706,1501,26,1,10,2036,,268,,1,,56,1,13,,1,1,1,29,,,,5,,1,,1,1,18,2,1,25,6,5,,,,,3,,2,,7,,3,3,,,,8,1,1,,108,,,,4812,114,1,,15,30,43,,,1,,,21,39,64,,,16
2020-03-04,93090,1,,5,1,,1,1,43,24,3,49,,1,8,,,,2,,,,1,,30,,1,80422,,,,9,,,5,,8,1,7,2,2,,,7,212,,,,3,196,,,7,,,,,,,16,6,2,706,2336,31,2,12,2502,,284,,1,,56,1,13,,1,1,1,50,,,,5,,1,,1,1,28,2,1,32,12,5,,,,,3,1,2,,8,,4,3,,,,8,1,1,,110,,,,5328,151,1,,24,37,43,,,1,,1,27,51,108,,,16
2020-03-05,95324,1,,12,1,,1,1,57,37,3,49,,6,23,,,2,3,,,,1,,30,,1,80565,,,,9,,,5,,10,1,7,2,2,,,7,282,,,,3,262,,1,9,,,,,,2,26,29,2,706,2922,36,2,15,3089,,317,,1,,58,1,13,1,1,1,1,50,,,,5,,1,,2,1,38,2,1,56,15,5,4,,,,3,1,7,,8,,4,3,1,2,,16,2,4,,110,,1,,5766,198,1,,35,56,47,,,1,,1,27,89,129,,,16
2020-03-06,98192,1,,12,1,,1,1,57,47,3,49,,6,50,1,,2,7,,,,1,1,45,,1,80711,,,,10,,,12,,18,1,13,3,3,,,12,420,,,,9,534,,1,32,,,,,,2,26,30,2,696,3513,36,14,15,3858,,349,,1,,58,1,16,1,1,1,1,55,,,,5,,1,,2,1,82,4,1,86,16,5,7,,,,5,1,9,,8,,6,4,1,2,,21,8,4,1,117,,6,1,6284,257,1,,61,86,47,,,1,,1,27,118,148,,,16
2020-03-07,101927,1,,17,1,,2,1,62,66,9,49,,6,109,1,,2,13,,,,1,2,51,,5,80813,1,,,11,,,12,,23,1,14,3,10,,,19,613,,,,9,639,,1,32,,,,,,5,45,31,2,696,4747,44,18,19,4636,,408,,1,,58,1,22,1,1,2,3,83,,,,5,,1,,2,1,128,5,1,113,16,5,16,,,1,5,5,13,,11,,7,7,1,2,,24,8,4,1,130,1,9,1,6767,374,1,,137,209,48,1,,1,,1,45,167,213,1,,17
2020-03-08,105592,4,,17,1,,9,1,74,104,9,56,,6,169,1,,2,19,,2,,2,2,57,,5,80859,1,5,,11,,,26,,31,1,14,48,10,,1,19,706,5,,,12,795,,1,66,,,,,,7,45,34,6,696,5823,54,19,25,5883,,455,,1,,62,1,28,1,1,2,3,93,2,3,2,7,1,1,,2,1,188,5,1,147,16,5,16,,,6,6,6,21,,12,,13,7,1,2,,27,11,4,1,138,3,12,2,7134,430,1,,161,264,50,1,,1,,1,45,210,213,1,,21
2020-03-09,109577,4,2,20,1,,12,1,77,112,9,79,3,6,200,1,,2,25,,4,,2,2,62,,10,80904,1,9,,11,,,32,,36,1,15,55,10,,2,30,1116,5,,,13,1112,,1,73,,,,,,9,55,43,6,696,6566,60,21,39,7375,,488,,1,,64,3,32,1,1,2,3,93,4,3,2,7,1,1,,2,1,265,5,2,169,16,6,19,,1,6,10,11,30,,15,,15,7,1,2,,37,15,4,1,150,5,16,3,7382,589,1,,203,332,50,1,,2,,1,45,277,213,1,,30
2020-03-10,113702,4,2,20,1,,12,1,92,131,9,109,3,6,239,1,,2,25,1,4,,2,2,77,,13,80924,3,9,,12,,2,38,,90,5,15,59,10,,2,40,1402,5,,,15,1139,,1,73,,1,,,,9,55,44,19,696,7161,61,24,39,9172,,514,,1,,65,6,41,1,1,5,7,117,4,4,2,7,1,1,1,2,1,321,5,2,192,18,16,26,1,1,9,33,16,30,,18,,15,7,1,2,,49,15,4,1,160,7,23,7,7513,1024,1,,248,332,53,1,,2,,1,59,323,472,1,,31
2020-03-11,118319,4,10,20,1,,17,1,112,182,9,110,3,9,267,1,2,4,34,1,6,2,3,2,93,,17,80955,3,13,,16,,2,61,1,262,5,15,59,13,,2,40,1774,5,,,23,1296,,1,89,,1,,,,13,61,60,27,696,8042,61,34,75,10149,1,568,,1,,69,8,41,1,1,5,7,129,8,4,3,7,3,1,1,3,1,382,5,2,277,18,16,30,8,5,11,49,22,41,,24,,25,7,1,2,,63,20,4,12,166,7,31,7,7755,1639,1,,326,491,59,1,,6,,1,74,373,696,1,,35
2020-03-12,125260,7,10,25,1,,19,1,122,302,9,189,3,12,314,1,2,4,52,12,7,2,3,2,93,,23,80981,9,13,1,16,,6,94,1,615,5,17,67,13,,2,40,2269,5,1,,23,1567,,1,98,,1,,,2,13,61,73,34,696,9000,70,43,75,12462,1,620,,1,,80,16,66,1,3,17,7,129,8,6,3,11,4,1,1,5,1,503,5,2,489,18,19,30,10,5,17,52,44,41,,262,,48,20,1,2,,63,21,4,19,178,10,57,13,7869,2140,2,,461,645,70,1,,6,1,1,74,460,987,1,,39
2020-03-13,132758,7,23,25,1,,31,1,140,361,11,195,3,12,314,1,3,4,77,12,7,2,5,2,138,,33,80991,9,22,1,16,3,6,116,1,674,5,17,67,13,,2,109,2860,6,1,,25,2369,,1,98,,1,,1,2,16,61,74,34,696,10075,70,70,75,15113,1,675,2,1,,80,16,66,4,3,17,7,129,8,9,4,12,4,1,1,6,1,614,5,2,489,18,20,31,14,5,22,52,49,41,,262,3,48,34,1,2,1,63,21,10,19,187,21,57,17,7979,2965,3,,620,858,75,1,,7,1,3,85,594,1264,1,,39
2020-03-14,142539,7,33,26,2,1,34,8,197,504,11,210,3,21,599,1,3,11,98,25,7,2,7,2,176,1,43,81021,16,23,1,27,4,14,150,2,801,5,23,93,79,1,3,109,3640,6,1,1,25,3062,1,1,98,1,1,1,6,2,19,61,82,69,697,11364,93,90,100,17660,7,716,2,1,1,100,16,77,4,6,38,9,197,9,12,6,26,8,2,1,7,1,804,6,2,750,19,21,35,27,6,28,64,64,112,3,262,5,64,34,1,2,1,66,62,10,31,200,30,141,17,8086,4231,6,1,775,1125,75,1,1,16,5,3,85,802,1678,1,2,48
