,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Western Pacific,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Americas,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,Eastern Mediterranean,South-East Asia,South-East Asia,South-East Asia,Africa,Territories,International
Date,China,Philippines,Japan,Australia,Republic of Korea,United States of America,Argentina,Canada,Guyana,Panama,Ecuador,Guatemala,Dominican Republic,France,Italy,Spain,Switzerland,Netherlands,The United Kingdom,San Marino,Germany,Greece,Ireland,Bulgaria,Austria,Poland,Norway,Luxembourg,Albania,Ukraine,Belgium,Sweden,Denmark,Hungary,Iran,Iraq,Egypt,Lebanon,Morocco,Bahrain,Sudan,Thailand,Indonesia,India,Algeria,Cayman Islands,International conveyance (Diamond Princess)
2020-01-21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,361,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,491,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,564,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,637,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,723,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,812,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,909,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,1017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,1114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,1368,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,1381,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,1524,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,1666,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,1772,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,1870,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,2006,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,2121,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
2020-02-21,2239,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2
2020-02-22,2348,1,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,2
2020-02-23,2445,1,1,,5,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,3
2020-02-24,2595,1,1,,7,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,3
2020-02-25,2666,1,1,,10,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,3
2020-02-26,2718,1,1,,12,,,,,,,,,1,11,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,3
2020-02-27,2747,1,3,,13,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,4
2020-02-28,2791,1,4,,13,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,4
2020-02-29,2838,1,5,,17,,,,,,,,,2,21,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,6
2020-03-01,2873,1,5,,18,,,,,,,,,2,29,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,6
2020-03-02,2915,1,6,1,22,,,,,,,,,2,35,,,,,,,,,,,,,,,,,,,,54,,,,,,,1,,,,,6
2020-03-03,2946,1,6,1,28,2,,,,,,,,3,52,,,,,,,,,,,,,,,,,,,,66,,,,,,,1,,,,,6
2020-03-04,2984,1,6,1,32,6,,,,,,,,4,80,,,,,,,,,,,,,,,,,,,,77,,,,,,,1,,,,,6
2020-03-05,3015,1,6,1,35,9,,,,,,,,4,107,1,,,,,,,,,,,,,,,,,,,92,2,,,,,,1,,,,,6
2020-03-06,3045,1,6,2,42,10,,,,,,,,6,148,3,1,,,,,,,,,,,,,,,,,,107,2,,,,,,1,,,,,6
2020-03-07,3073,1,6,2,44,11,,,,,,,,9,197,5,1,1,1,,,,,,,,,,,,,,,,124,4,,,,,,1,,,,,6
2020-03-08,3100,1,6,3,50,11,1,,,,,,,10,234,5,2,1,2,1,,,,,,,,,,,,,,,145,4,,,,,,1,,,,,7
2020-03-09,3123,1,7,3,51,11,1,,,,,,,19,366,10,2,3,2,1,,,,,,,,,,,,,,,194,6,1,,,,,1,,,,,7
2020-03-10,3140,1,9,3,54,19,1,,,,,,,30,463,28,2,3,3,2,2,,,,,,,,,,,,,,237,6,1,,,,,1,,,,,7
2020-03-11,3162,1,12,3,60,25,1,1,,1,,,,33,631,36,3,4,6,2,2,,,,,,,,,,,,,,291,6,1,1,1,,,1,1,,,,7
2020-03-12,3173,2,15,3,66,29,1,1,,1,,,,48,827,48,4,5,6,2,3,1,1,1,,,,,,,,,,,354,7,1,3,1,,,1,1,,1,,7
2020-03-13,3180,2,19,3,66,36,1,1,1,1,,,,61,1016,84,6,5,8,2,6,1,1,1,1,1,1,,,,,,,,429,7,1,3,1,,,1,1,1,1,,7
2020-03-14,3194,2,21,3,72,41,2,1,1,1,,,,79,1268,120,6,10,10,2,6,1,1,1,1,1,1,1,1,1,,,,,514,9,2,3,1,,,1,3,2,2,,7
2020-03-15,3204,6,22,3,75,41,2,1,1,1,,,,91,1441,136,11,12,21,5,8,2,2,2,1,3,1,1,1,1,,,,,608,9,2,3,1,,,1,4,2,3,,7
2020-03-16,3218,12,24,5,75,41,2,1,1,1,2,1,,127,1809,288,13,20,35,5,12,4,2,2,1,3,1,1,1,1,5,3,1,1,853,9,2,3,1,1,1,1,4,2,3,1,7
2020-03-17,3231,12,28,5,81,58,2,1,1,1,2,1,1,148,2503,309,14,24,55,9,13,4,2,2,3,3,3,1,1,1,5,3,4,1,853,9,4,3,2,1,1,1,5,3,4,1,7